# X Y Sx Sy Sz
30.500000 52.250199 -0.079200 0.105895 -0.991218
31.000000 52.538874 0.106257 -0.108328 0.988420
31.000000 53.116225 -0.103126 0.103114 -0.989309
31.500000 53.404900 0.134712 -0.099963 0.985830
31.500000 53.982250 -0.130104 0.098471 -0.986598
32.000000 54.270925 0.158252 -0.108139 0.981459
32.000000 54.848276 -0.158269 0.086834 -0.983570
32.500000 55.136951 0.196317 -0.106047 0.974789
32.500000 55.714301 -0.200745 0.088015 -0.975682
33.000000 56.002976 0.236043 -0.082225 0.968257
33.000000 56.580326 -0.234844 0.077178 -0.968964
33.500000 56.869002 0.257385 -0.077694 0.963181
33.500000 57.446352 -0.253000 0.060594 -0.965567
34.000000 57.735027 0.287815 -0.060404 0.955779
34.000000 58.312377 -0.289385 0.047551 -0.956031
34.500000 58.601052 0.315554 -0.045877 0.947798
34.500000 59.178403 -0.314547 0.034319 -0.948621
35.000000 59.467078 0.357835 -0.026335 0.933413
35.000000 60.044428 -0.360412 0.014450 -0.932681
35.500000 60.333103 0.393029 -0.010310 0.919468
35.500000 60.910453 -0.388751 0.003358 -0.921337
36.000000 61.199129 0.421027 0.001634 0.907046
36.000000 61.776479 -0.433319 -0.016846 -0.901083
36.500000 62.065154 0.472328 0.028105 0.880975
36.500000 62.642504 -0.480881 -0.034562 -0.876104
37.000000 62.931179 0.517782 0.039692 0.854591
37.000000 63.508530 -0.520222 -0.046241 -0.852778
37.500000 63.797205 0.559516 0.062894 0.826430
37.500000 64.374555 -0.562586 -0.079383 -0.822918
38.000000 64.663230 0.611064 0.087063 0.786779
38.000000 65.240580 -0.615809 -0.108518 -0.780386
38.500000 65.529256 0.652478 0.122817 0.747789
38.500000 66.106606 -0.661761 -0.135090 -0.737443
39.000000 66.395281 0.704358 0.148595 0.694118
39.000000 66.972631 -0.712957 -0.170330 -0.680206
39.500000 67.261306 0.750090 0.177595 0.637044
39.500000 67.838657 -0.761482 -0.196101 -0.617811
40.000000 68.127332 0.800021 0.204656 0.563988
40.000000 68.704682 -0.806846 -0.219907 -0.548307
40.500000 68.993357 0.839892 0.236266 0.488630
40.500000 69.570707 -0.849942 -0.246017 -0.465912
41.000000 69.859383 0.877934 0.258955 0.402708
41.000000 70.436733 -0.888108 -0.273358 -0.369513
41.500000 70.725408 0.910691 0.281987 0.301870
41.500000 71.302758 -0.919123 -0.293041 -0.263325
42.000000 71.591433 0.933114 0.304558 0.191161
42.000000 72.168784 -0.934650 -0.318707 -0.157659
42.500000 72.457459 0.943546 0.321928 0.077997
42.500000 73.034809 -0.944667 -0.325119 -0.043604
43.000000 73.323484 0.943977 0.328217 -0.034366
43.000000 73.900834 -0.939638 -0.333674 0.075775
43.500000 74.189510 0.930391 0.328907 -0.161843
43.500000 74.766860 -0.922279 -0.333619 0.195193
44.000000 75.055535 0.902061 0.326104 -0.282741
44.000000 75.632885 -0.890357 -0.324388 0.319430
44.500000 75.921560 0.865554 0.313448 -0.390598
44.500000 76.498911 -0.852587 -0.305450 0.424023
45.000000 76.787586 0.816219 0.292919 -0.497980
45.000000 77.364936 -0.793737 -0.294266 0.532343
45.500000 77.653611 0.761171 0.273168 -0.588216
45.500000 78.230961 -0.746058 -0.261419 0.612419
46.000000 78.519637 0.699031 0.243313 -0.672424
46.000000 79.096987 -0.688347 -0.228709 0.688383
46.500000 79.385662 0.644686 0.212736 -0.734250
46.500000 79.963012 -0.628537 -0.206330 0.749913
47.000000 80.251687 0.580163 0.194559 -0.790922
47.000000 80.829038 -0.560232 -0.182989 0.807871
47.500000 81.117713 0.517828 0.160174 -0.840356
47.500000 81.695063 -0.506658 -0.160908 0.846998
48.000000 81.983738 0.459810 0.156135 -0.874183
48.000000 82.561088 -0.442748 -0.137803 0.885994
48.500000 82.849764 0.404724 0.120175 -0.906508
48.500000 83.427114 -0.380889 -0.112657 0.917732
49.000000 83.715789 0.340652 0.093931 -0.935486
49.000000 84.293139 -0.318413 -0.081506 0.944442
49.500000 84.581814 0.276697 0.065415 -0.958728
49.500000 85.159165 -0.258953 -0.052098 0.964484
50.000000 85.447840 0.213203 0.028714 -0.976586
50.000000 86.025190 -0.201785 -0.027173 0.979053
50.500000 86.313865 0.162449 -0.004286 -0.986708
50.500000 86.891216 -0.149223 0.011914 0.988732
51.000000 87.179891 0.104019 -0.033328 -0.994017
51.000000 87.757241 -0.088575 0.033647 0.995501
51.500000 88.045916 0.046485 -0.045194 -0.997896
51.500000 88.623266 -0.027476 0.052449 0.998246
52.000000 88.911941 -0.015822 -0.071671 -0.997303
52.000000 89.489292 0.027295 0.082537 0.996214
52.500000 89.777967 -0.081729 -0.099864 -0.991639
52.500000 90.355317 0.104424 0.094293 0.990053
53.000000 90.643992 -0.141770 -0.110612 -0.983700
53.000000 91.221343 0.164423 0.122701 0.978729
53.500000 91.510018 -0.217095 -0.134878 -0.966787
53.500000 92.087368 0.241279 0.137598 0.960651
54.000000 92.376043 -0.279252 -0.155203 -0.947592
54.000000 92.953393 0.304981 0.162675 0.938362
54.500000 93.242068 -0.359163 -0.174183 -0.916876
54.500000 93.819419 0.378779 0.171367 0.909483
55.000000 94.108094 -0.437654 -0.189977 -0.878844
55.000000 94.685444 0.459264 0.192506 0.867190
55.500000 94.974119 -0.509927 -0.215511 -0.832784
55.500000 95.551470 0.529076 0.218575 0.819941
56.000000 95.840145 -0.586575 -0.231691 -0.776047
56.000000 96.417495 0.602374 0.232866 0.763491
56.500000 96.706170 -0.655220 -0.246107 -0.714225
56.500000 97.283520 0.674838 0.241046 0.697489
57.000000 97.572195 -0.726708 -0.250723 -0.639557
57.000000 98.149546 0.745597 0.242580 0.620678
57.500000 98.438221 -0.793640 -0.250086 -0.554610
57.500000 99.015571 0.807918 0.249703 0.533776
58.000000 99.304246 -0.850732 -0.255409 -0.459370
58.000000 99.881597 0.865708 0.242993 0.437611
58.500000 100.170272 -0.897667 -0.250498 -0.362554
58.500000 100.747622 0.907334 0.245770 0.341090
59.000000 101.036297 -0.935102 -0.251412 -0.249752
59.000000 101.613647 0.945711 0.230716 0.228914
59.500000 101.902323 -0.963322 -0.228132 -0.141302
59.500000 102.479673 0.966307 0.219694 0.134111
60.000000 102.768348 -0.976111 -0.214268 -0.036006
60.000000 103.345698 0.978785 0.203060 0.027331
60.500000 103.634373 -0.979010 -0.191561 0.069590
1.500000 0.288675 0.955426 0.178108 -0.235453
2.000000 0.577350 -0.931578 -0.173142 0.319661
2.000000 1.154701 0.931078 0.153305 -0.331047
2.500000 1.443376 -0.901736 -0.141574 0.408447
2.500000 2.020726 0.901535 0.130975 -0.412407
3.000000 2.309401 -0.868173 -0.117403 0.482175
3.000000 2.886751 0.869442 0.096927 -0.484434
3.500000 3.175426 -0.831858 -0.096188 0.546590
3.500000 3.752777 0.827518 0.084700 -0.555014
4.000000 4.041452 -0.791772 -0.074763 0.606225
4.000000 4.618802 0.788243 0.064248 -0.612000
4.500000 4.907477 -0.746502 -0.048249 0.663631
4.500000 5.484828 0.748080 0.038651 -0.662482
5.000000 5.773503 -0.696336 -0.028570 0.717147
5.000000 6.350853 0.693340 0.018400 -0.720376
5.500000 6.639528 -0.648930 -0.014151 0.760717
5.500000 7.216878 0.651960 -0.000377 -0.758253
6.000000 7.505553 -0.605695 0.008191 0.795655
6.000000 8.082904 0.601494 -0.021038 -0.798601
6.500000 8.371579 -0.549125 0.023889 0.835399
6.500000 8.948929 0.557692 -0.031384 -0.829455
7.000000 9.237604 -0.509509 0.037884 0.859631
7.000000 9.814955 0.508169 -0.042192 -0.860223
7.500000 10.103630 -0.456773 0.043430 0.888522
7.500000 10.680980 0.474740 -0.053852 -0.878477
8.000000 10.969655 -0.425905 0.058239 0.902892
8.000000 11.547005 0.423674 -0.061897 -0.903697
8.500000 11.835681 -0.375177 0.057646 0.925159
8.500000 12.413031 0.375465 -0.065664 -0.924507
9.000000 12.701706 -0.333268 0.060231 0.940906
9.000000 13.279056 0.346706 -0.062588 -0.935883
9.500000 13.567731 -0.301484 0.055461 0.951857
9.500000 14.145082 0.309831 -0.062981 -0.948703
10.000000 14.433757 -0.257672 0.065017 0.964043
10.000000 15.011107 0.264221 -0.071171 -0.961833
10.500000 15.299782 -0.223705 0.061064 0.972742
10.500000 15.877132 0.237245 -0.068938 -0.969001
11.000000 16.165808 -0.184615 0.061910 0.980859
11.000000 16.743158 0.198476 -0.064076 -0.978009
11.500000 17.031833 -0.149563 0.051980 0.987385
11.500000 17.609183 0.176473 -0.057151 -0.982645
12.000000 17.897858 -0.129025 0.048421 0.990458
12.000000 18.475209 0.142951 -0.054134 -0.988248
12.500000 18.763884 -0.090267 0.046274 0.994842
12.500000 19.341234 0.111095 -0.044250 -0.992824
13.000000 19.629909 -0.058350 0.038294 0.997561
13.000000 20.207259 0.077917 -0.046465 -0.995876
13.500000 20.495935 -0.040802 0.045127 0.998148
13.500000 21.073285 0.052995 -0.050980 -0.997293
14.000000 21.361960 -0.008304 0.042185 0.999075
14.000000 21.939310 0.028769 -0.046771 -0.998491
14.500000 22.227985 0.006982 0.034597 0.999377
14.500000 22.805336 0.012283 -0.037430 -0.999224
15.000000 23.094011 0.035734 0.022931 0.999098
15.000000 23.671361 -0.013050 -0.029757 -0.999472
15.500000 23.960036 0.055383 0.013950 0.998368
15.500000 24.537386 -0.028048 -0.025531 -0.999280
16.000000 24.826062 0.066971 0.014440 0.997650
16.000000 25.403412 -0.041686 -0.013692 -0.999037
16.500000 25.692087 0.078665 0.002764 0.996897
16.500000 26.269437 -0.051420 -0.015426 -0.998558
17.000000 26.558112 0.087222 -0.002793 0.996185
17.000000 27.135463 -0.060277 -0.007657 -0.998152
17.500000 27.424138 0.091006 -0.013543 0.995758
17.500000 28.001488 -0.056991 0.008312 -0.998340
18.000000 28.290163 0.097800 -0.025445 0.994881
18.000000 28.867513 -0.070152 0.018079 -0.997372
18.500000 29.156189 0.096512 -0.037705 0.994617
18.500000 29.733539 -0.070645 0.023933 -0.997214
19.000000 30.022214 0.102316 -0.040715 0.993918
19.000000 30.599564 -0.073332 0.026207 -0.996963
19.500000 30.888239 0.102184 -0.049525 0.993532
19.500000 31.465590 -0.064142 0.038905 -0.997182
20.000000 31.754265 0.106514 -0.063780 0.992264
20.000000 32.331615 -0.066486 0.043020 -0.996860
20.500000 32.620290 0.106321 -0.059083 0.992575
20.500000 33.197640 -0.072301 0.044049 -0.996410
21.000000 33.486316 0.091202 -0.052742 0.994435
21.000000 34.063666 -0.067651 0.036024 -0.997058
21.500000 34.352341 0.094425 -0.057251 0.993884
21.500000 34.929691 -0.058055 0.046876 -0.997212
22.000000 35.218366 0.084137 -0.061227 0.994571
22.000000 35.795717 -0.056955 0.046413 -0.997297
22.500000 36.084392 0.085455 -0.067595 0.994046
22.500000 36.661742 -0.046560 0.057385 -0.997266
23.000000 36.950417 0.079863 -0.076538 0.993863
23.000000 37.527767 -0.042571 0.069917 -0.996644
23.500000 37.816443 0.075889 -0.086098 0.993392
23.500000 38.393793 -0.037608 0.075506 -0.996436
24.000000 38.682468 0.074042 -0.092955 0.992913
24.000000 39.259818 -0.040710 0.070391 -0.996688
24.500000 39.548493 0.061946 -0.093296 0.993709
24.500000 40.125844 -0.017799 0.077658 -0.996821
25.000000 40.414519 0.051428 -0.095943 0.994057
25.000000 40.991869 -0.023927 0.084569 -0.996130
25.500000 41.280544 0.048883 -0.106947 0.993062
25.500000 41.857895 -0.029584 0.091990 -0.995320
26.000000 42.146570 0.057641 -0.116895 0.991470
26.000000 42.723920 -0.028059 0.098176 -0.994773
26.500000 43.012595 0.057877 -0.112213 0.991997
26.500000 43.589945 -0.022862 0.102738 -0.994446
27.000000 43.878620 0.047823 -0.123893 0.991142
27.000000 44.455971 -0.021534 0.109509 -0.993753
27.500000 44.744646 0.058943 -0.132825 0.989385
27.500000 45.321996 -0.036040 0.116619 -0.992523
28.000000 45.610671 0.076190 -0.128949 0.988720
28.000000 46.188022 -0.048015 0.125804 -0.990892
28.500000 46.476697 0.079367 -0.141324 0.986777
28.500000 47.054047 -0.056494 0.131333 -0.989727
29.000000 47.342722 0.087415 -0.145017 0.985560
29.000000 47.920072 -0.066179 0.130833 -0.989193
29.500000 48.208747 0.099068 -0.133865 0.986035
29.500000 48.786098 -0.092221 0.126976 -0.987609
30.000000 49.074773 0.125185 -0.128533 0.983772
